rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0074.jpg,29.6,0.7427,0.6568,0.7143,1.0,7,5,False,True
2,frame_0291.jpg,116.4,0.6936,0.6226,0.7143,0.84,6,5,False,True
3,frame_0075.jpg,30.0,0.69,0.5674,0.7143,0.96,7,5,False,False
4,frame_0001.jpg,0.4,0.6861,0.5437,0.7143,1.0,7,5,False,True
5,frame_0077.jpg,30.8,0.6735,0.5664,0.7143,0.88,7,5,False,False
6,frame_0031.jpg,12.4,0.6627,0.5825,0.5714,1.0,8,4,False,True
7,frame_0127.jpg,50.8,0.6569,0.5653,0.7143,0.8,8,5,False,True
8,frame_0002.jpg,0.8,0.6508,0.5587,0.5714,1.0,5,4,False,False
9,frame_0073.jpg,29.2,0.6457,0.5486,0.5714,1.0,6,4,False,False
10,frame_0033.jpg,13.2,0.6421,0.5414,0.5714,1.0,7,4,False,False
11,frame_0129.jpg,51.6,0.6318,0.6544,0.4286,0.88,5,3,False,False
12,frame_0069.jpg,27.6,0.631,0.5192,0.5714,1.0,5,4,False,True
13,frame_0025.jpg,10.0,0.628,0.7702,0.1429,1.0,1,1,False,True
14,frame_0126.jpg,50.4,0.6275,0.6082,0.5714,0.76,7,4,False,False
15,frame_0067.jpg,26.8,0.6269,0.4253,0.7143,1.0,7,5,False,False
16,frame_0030.jpg,12.0,0.6265,0.4245,0.7143,1.0,6,5,False,False
17,frame_0070.jpg,28.0,0.6247,0.6779,0.2857,1.0,6,2,False,False
18,frame_0004.jpg,1.6,0.6244,0.5917,0.4286,1.0,4,3,False,False
19,frame_0379.jpg,151.6,0.6202,0.6244,1.0,0.04,7,7,False,True
20,frame_0000.jpg,0.0,0.6179,0.493,0.5714,1.0,6,4,False,False
21,frame_0327.jpg,130.8,0.6151,0.7,0.8571,0.04,9,6,False,True
22,frame_0375.jpg,150.0,0.612,0.8011,0.5714,0.2,9,4,False,False
23,frame_0231.jpg,92.4,0.6013,0.6244,0.8571,0.16,8,6,False,True
24,frame_0071.jpg,28.4,0.6004,0.5437,0.4286,1.0,5,3,False,False
25,frame_0130.jpg,52.0,0.6,0.5748,0.4286,0.92,4,3,False,False
26,frame_0072.jpg,28.8,0.5976,0.5381,0.4286,1.0,7,3,False,False
27,frame_0376.jpg,150.4,0.5973,0.8734,0.4286,0.16,6,3,False,False
28,frame_0105.jpg,42.0,0.5946,0.643,0.8571,0.08,6,6,False,True
29,frame_0015.jpg,6.0,0.5921,0.6984,0.1429,1.0,3,1,False,True
30,frame_0286.jpg,114.4,0.5912,0.5836,0.5714,0.64,5,4,False,False
31,frame_0089.jpg,35.6,0.59,0.6771,0.5714,0.4,5,4,False,False
32,frame_0021.jpg,8.4,0.587,0.4312,0.5714,1.0,6,4,False,False
33,frame_0209.jpg,83.6,0.5856,0.7118,0.2857,0.72,2,2,False,False
34,frame_0374.jpg,149.6,0.5856,0.7483,0.5714,0.2,6,4,False,False
35,frame_0397.jpg,158.8,0.5841,0.6596,0.7143,0.2,6,5,False,False
36,frame_0122.jpg,48.8,0.5806,0.664,0.4286,0.6,3,3,False,False
37,frame_0368.jpg,147.2,0.5804,0.5448,1.0,0.04,8,7,False,False
38,frame_0125.jpg,50.0,0.5698,0.5944,0.4286,0.72,4,3,False,False
39,frame_0386.jpg,154.4,0.5696,0.6146,0.7143,0.24,7,5,False,False
40,frame_0183.jpg,73.2,0.5643,0.7697,0.5714,0.04,4,4,False,False
41,frame_0210.jpg,84.0,0.5601,0.6767,0.2857,0.68,2,2,False,False
42,frame_0328.jpg,131.2,0.5586,0.6567,0.7143,0.08,10,5,False,False
43,frame_0079.jpg,31.6,0.5577,0.5382,0.4286,0.8,7,3,False,False
44,frame_0377.jpg,150.8,0.5577,0.5531,0.8571,0.12,8,6,False,False
45,frame_0387.jpg,154.8,0.5566,0.6904,0.5714,0.2,8,4,False,False
46,frame_0008.jpg,3.2,0.5545,0.5375,0.2857,1.0,3,2,False,False
47,frame_0318.jpg,127.2,0.5536,0.5826,0.7143,0.24,6,5,False,False
48,frame_0011.jpg,4.4,0.5503,0.4435,0.4286,1.0,3,3,False,False
49,frame_0019.jpg,7.6,0.5475,0.5235,0.2857,1.0,2,2,False,False
50,frame_0131.jpg,52.4,0.547,0.4529,0.4286,0.96,4,3,False,False
51,frame_0274.jpg,109.6,0.5444,0.5962,0.7143,0.16,6,5,False,False
52,frame_0292.jpg,116.8,0.5416,0.4204,0.5714,0.8,7,4,False,False
53,frame_0367.jpg,146.8,0.5415,0.5367,0.8571,0.08,7,6,False,False
54,frame_0176.jpg,70.4,0.5397,0.5549,0.7143,0.24,7,5,False,False
55,frame_0287.jpg,114.8,0.5376,0.5461,0.4286,0.68,6,3,False,False
56,frame_0289.jpg,115.6,0.5356,0.5957,0.2857,0.76,4,2,False,False
57,frame_0388.jpg,155.2,0.535,0.6632,0.5714,0.16,8,4,False,False
58,frame_0174.jpg,69.6,0.5349,0.599,0.5714,0.32,4,4,False,False
59,frame_0389.jpg,155.6,0.5349,0.5933,0.7143,0.12,9,5,False,False
60,frame_0378.jpg,151.2,0.5339,0.5216,0.8571,0.08,9,6,False,False
61,frame_0013.jpg,5.2,0.5338,0.4105,0.4286,1.0,3,3,False,False
62,frame_0096.jpg,38.4,0.5333,0.5901,0.7143,0.12,7,5,False,False
63,frame_0177.jpg,70.8,0.5307,0.5528,0.7143,0.2,5,5,False,False
64,frame_0276.jpg,110.4,0.53,0.5355,0.7143,0.24,6,5,False,False
65,frame_0290.jpg,116.0,0.5267,0.4762,0.4286,0.8,6,3,False,False
66,frame_0020.jpg,8.0,0.5257,0.3942,0.4286,1.0,4,3,False,False
67,frame_0288.jpg,115.2,0.5256,0.5061,0.4286,0.72,6,3,False,False
68,frame_0275.jpg,110.0,0.5254,0.5423,0.7143,0.2,5,5,False,False
69,frame_0007.jpg,2.8,0.5249,0.4784,0.2857,1.0,4,2,False,False
70,frame_0115.jpg,46.0,0.5247,0.4929,0.7143,0.32,7,5,False,False
71,frame_0298.jpg,119.2,0.5242,0.5672,0.4286,0.56,5,3,False,False
72,frame_0095.jpg,38.0,0.5234,0.5542,0.7143,0.16,6,5,False,False
73,frame_0317.jpg,126.8,0.5181,0.6991,0.4286,0.2,7,3,False,False
74,frame_0308.jpg,123.2,0.5159,0.5392,0.7143,0.16,6,5,False,False
75,frame_0116.jpg,46.4,0.5146,0.5423,0.5714,0.36,7,4,False,False
76,frame_0175.jpg,70.0,0.5134,0.5719,0.5714,0.28,6,4,False,False
77,frame_0306.jpg,122.4,0.5121,0.5854,0.5714,0.24,7,4,False,False
78,frame_0024.jpg,9.6,0.509,0.618,0.0,1.0,1,0,False,False
79,frame_0168.jpg,67.2,0.5077,0.5343,0.4286,0.56,6,3,False,False
80,frame_0233.jpg,93.2,0.5076,0.6621,0.4286,0.24,5,3,False,False
81,frame_0278.jpg,111.2,0.5041,0.5373,0.5714,0.32,8,4,False,False
82,frame_0293.jpg,117.2,0.5041,0.4471,0.4286,0.76,5,3,False,False
83,frame_0295.jpg,118.0,0.5021,0.5608,0.2857,0.68,6,2,False,False
84,frame_0284.jpg,113.6,0.4992,0.6029,0.2857,0.56,5,2,False,False
85,frame_0123.jpg,49.2,0.4982,0.4833,0.4286,0.64,5,3,False,False
86,frame_0229.jpg,91.6,0.4977,0.5348,0.7143,0.08,7,5,False,False
87,frame_0108.jpg,43.2,0.4951,0.6314,0.5714,0.04,6,4,False,False
88,frame_0302.jpg,120.8,0.4935,0.4841,0.5714,0.4,6,4,False,False
89,frame_0003.jpg,1.2,0.4908,0.4101,0.2857,1.0,6,2,False,False
90,frame_0305.jpg,122.0,0.4905,0.5261,0.5714,0.28,5,4,False,False
91,frame_0390.jpg,156.0,0.4898,0.519,0.7143,0.08,6,5,False,False
92,frame_0301.jpg,120.4,0.4878,0.4568,0.5714,0.44,6,4,False,False
93,frame_0029.jpg,11.6,0.4871,0.4884,0.1429,1.0,5,1,False,False
94,frame_0307.jpg,122.8,0.486,0.4634,0.7143,0.2,8,5,False,False
95,frame_0304.jpg,121.6,0.4857,0.5006,0.5714,0.32,7,4,False,False
96,frame_0032.jpg,12.8,0.4843,0.3971,0.2857,1.0,5,2,False,False
97,frame_0186.jpg,74.4,0.4815,0.5185,0.7143,0.04,9,5,False,False
98,frame_0170.jpg,68.0,0.4813,0.5134,0.4286,0.48,6,3,False,False
99,frame_0026.jpg,10.4,0.4801,0.3887,0.2857,1.0,3,2,False,False
100,frame_0114.jpg,45.6,0.4798,0.5048,0.5714,0.28,6,4,False,False
101,frame_0068.jpg,27.2,0.4795,0.3019,0.4286,1.0,6,3,False,False
102,frame_0017.jpg,6.8,0.4775,0.3836,0.2857,1.0,3,2,False,False
103,frame_0315.jpg,126.0,0.4768,0.5628,0.5714,0.12,7,4,False,False
104,frame_0014.jpg,5.6,0.4767,0.382,0.2857,1.0,4,2,False,False
105,frame_0167.jpg,66.8,0.4755,0.4539,0.4286,0.6,4,3,False,False
106,frame_0012.jpg,4.8,0.4743,0.3771,0.2857,1.0,3,2,False,False
107,frame_0297.jpg,118.8,0.4735,0.5356,0.2857,0.6,5,2,False,False
108,frame_0279.jpg,111.6,0.4711,0.4554,0.5714,0.36,6,4,False,False
109,frame_0132.jpg,52.8,0.4679,0.3644,0.2857,1.0,5,2,False,False
110,frame_0303.jpg,121.2,0.4664,0.4459,0.5714,0.36,5,4,False,False
111,frame_0322.jpg,128.8,0.466,0.5251,0.5714,0.16,5,4,False,False
112,frame_0120.jpg,48.0,0.4657,0.4662,0.4286,0.52,5,3,False,False
113,frame_0214.jpg,85.6,0.4649,0.636,0.1429,0.52,2,1,False,False
114,frame_0280.jpg,112.0,0.4647,0.5123,0.4286,0.4,5,3,False,False
115,frame_0010.jpg,4.0,0.4622,0.4387,0.1429,1.0,2,1,False,False
116,frame_0184.jpg,73.6,0.4583,0.6274,0.4286,0.08,6,3,False,False
117,frame_0083.jpg,33.2,0.4546,0.4817,0.2857,0.64,3,2,False,False
118,frame_0329.jpg,131.6,0.4544,0.6196,0.4286,0.08,8,3,False,False
119,frame_0018.jpg,7.2,0.4542,0.337,0.2857,1.0,5,2,False,False
120,frame_0169.jpg,67.6,0.4531,0.5268,0.2857,0.52,7,2,False,False
121,frame_0193.jpg,77.2,0.4509,0.4629,0.5714,0.24,6,4,False,False
122,frame_0023.jpg,9.2,0.4502,0.4147,0.1429,1.0,2,1,False,False
123,frame_0205.jpg,82.0,0.4501,0.4408,0.2857,0.72,2,2,False,False
124,frame_0207.jpg,82.8,0.4494,0.4073,0.2857,0.8,2,2,False,False
125,frame_0299.jpg,119.6,0.4492,0.5189,0.2857,0.52,5,2,False,False
126,frame_0216.jpg,86.4,0.448,0.5486,0.2857,0.44,3,2,False,False
127,frame_0112.jpg,44.8,0.4479,0.6444,0.2857,0.2,4,2,False,False
128,frame_0333.jpg,133.2,0.445,0.5151,0.5714,0.08,6,4,False,False
129,frame_0332.jpg,132.8,0.4437,0.6142,0.4286,0.04,6,3,False,False
130,frame_0106.jpg,42.4,0.4433,0.6134,0.4286,0.04,7,3,False,False
131,frame_0384.jpg,153.6,0.4428,0.5645,0.4286,0.16,7,3,False,False
132,frame_0100.jpg,40.0,0.4423,0.5257,0.5714,0.04,4,4,False,False
133,frame_0316.jpg,126.4,0.4409,0.5606,0.4286,0.16,6,3,False,False
134,frame_0173.jpg,69.2,0.4394,0.6491,0.1429,0.36,6,1,False,False
135,frame_0294.jpg,117.6,0.4394,0.4194,0.2857,0.72,5,2,False,False
136,frame_0220.jpg,88.0,0.4391,0.5948,0.2857,0.28,3,2,False,False
137,frame_0296.jpg,118.4,0.4368,0.4462,0.2857,0.64,6,2,False,False
138,frame_0104.jpg,41.6,0.4355,0.5658,0.4286,0.12,4,3,False,False
139,frame_0128.jpg,51.2,0.4353,0.4488,0.1429,0.84,6,1,False,False
140,frame_0076.jpg,30.4,0.4347,0.4156,0.1429,0.92,7,1,False,False
141,frame_0006.jpg,2.4,0.4346,0.2977,0.2857,1.0,3,2,False,False
